task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
150	b2/1fa807	801666	calling_pipeline:medakaInference_consensus (108)	CACHED	0	2026-01-12 18:58:21.752	7.2s	6.7s	110.2%	390 MB	1.2 GB	40.2 MB	1.7 MB
151	75/1b94e0	800005	calling_pipeline:medakaInference_consensus (109)	CACHED	0	2026-01-12 18:58:18.917	8.1s	7.5s	129.1%	479.9 MB	1.2 GB	40.3 MB	2 MB
149	a9/3030d9	799506	calling_pipeline:medakaInference_consensus (107)	CACHED	0	2026-01-12 18:58:18.059	6.6s	6.1s	111.1%	394.8 MB	1.1 GB	40.2 MB	1.7 MB
159	28/4c0250	805101	calling_pipeline:medakaInference_consensus (117)	CACHED	0	2026-01-12 18:58:28.957	8.2s	7.7s	121.4%	478 MB	1.2 GB	40.3 MB	2 MB
148	f1/8632cb	793260	calling_pipeline:medakaInference_consensus (106)	CACHED	0	2026-01-12 18:58:05.238	6.9s	6.4s	110.3%	379.8 MB	1.2 GB	40.2 MB	1.7 MB
147	46/4929d6	793138	calling_pipeline:medakaInference_consensus (105)	CACHED	0	2026-01-12 18:58:05.062	8.7s	8.2s	129.1%	536.8 MB	1.3 GB	40.3 MB	2.2 MB
154	ea/52caae	799943	calling_pipeline:medakaInference_consensus (112)	CACHED	0	2026-01-12 18:58:18.777	7.3s	6.8s	122.3%	458.2 MB	1.2 GB	40.3 MB	2 MB
160	80/7755bf	801289	calling_pipeline:medakaInference_consensus (118)	CACHED	0	2026-01-12 18:58:21.153	6.5s	6s	106.1%	381.5 MB	1.1 GB	40.2 MB	1.7 MB
164	bd/1ea4cb	806220	calling_pipeline:medakaInference_consensus (122)	CACHED	0	2026-01-12 18:58:31.785	7.7s	6.9s	120.0%	459.6 MB	1.2 GB	40.3 MB	2 MB
155	c0/5fecd1	803935	calling_pipeline:medakaInference_consensus (113)	CACHED	0	2026-01-12 18:58:26.975	8s	7.5s	124.9%	478.6 MB	1.2 GB	40.3 MB	2 MB
161	5a/46c959	804093	calling_pipeline:medakaInference_consensus (119)	CACHED	0	2026-01-12 18:58:27.129	6.9s	6.4s	114.7%	390.1 MB	1.1 GB	40.2 MB	1.7 MB
162	9c/4b61f6	804587	calling_pipeline:medakaInference_consensus (120)	CACHED	0	2026-01-12 18:58:27.701	6.3s	5.8s	105.3%	350.4 MB	1.1 GB	40.2 MB	1.6 MB
152	1c/658d9b	800357	calling_pipeline:medakaInference_consensus (110)	CACHED	0	2026-01-12 18:58:19.519	7.1s	6.6s	112.4%	391.3 MB	1.1 GB	40.2 MB	1.8 MB
158	05/c89ba6	803939	calling_pipeline:medakaInference_consensus (116)	CACHED	0	2026-01-12 18:58:26.988	6.4s	5.8s	107.2%	372.5 MB	1.2 GB	40.2 MB	1.7 MB
157	cd/ffcc32	800616	calling_pipeline:medakaInference_consensus (115)	CACHED	0	2026-01-12 18:58:19.917	7.2s	6.7s	111.2%	390 MB	1.1 GB	40.2 MB	1.7 MB
156	17/04622e	802772	calling_pipeline:medakaInference_consensus (114)	CACHED	0	2026-01-12 18:58:24.716	7.1s	6.5s	109.8%	391.6 MB	1.2 GB	40.2 MB	1.7 MB
153	9a/9cfe84	800748	calling_pipeline:medakaInference_consensus (111)	CACHED	0	2026-01-12 18:58:20.187	6.8s	6.3s	104.3%	367.6 MB	1.1 GB	40.2 MB	1.7 MB
165	1a/57a808	806930	calling_pipeline:medakaInference_consensus (123)	CACHED	0	2026-01-12 18:58:33.389	6.3s	5.7s	104.8%	355.2 MB	1.1 GB	40.2 MB	1.7 MB
167	56/91a55c	807381	calling_pipeline:medakaInference_consensus (125)	CACHED	0	2026-01-12 18:58:34.074	6.9s	6.3s	108.4%	371.9 MB	1.1 GB	40.2 MB	1.7 MB
166	e9/8dc13e	806876	calling_pipeline:medakaInference_consensus (124)	CACHED	0	2026-01-12 18:58:33.317	8.4s	7.9s	130.0%	523.7 MB	1.2 GB	40.3 MB	2.2 MB
168	c5/8f06fe	803739	calling_pipeline:medakaInference_consensus (126)	CACHED	0	2026-01-12 18:58:26.651	6.7s	6.2s	109.6%	383.8 MB	1.1 GB	40.2 MB	1.7 MB
176	44/d72db7	810663	calling_pipeline:medakaInference_consensus (134)	CACHED	0	2026-01-12 18:58:40.794	6.8s	6.3s	109.1%	379.8 MB	1.2 GB	40.2 MB	1.7 MB
170	86/91045f	810065	calling_pipeline:medakaInference_consensus (128)	CACHED	0	2026-01-12 18:58:39.710	6.7s	6s	109.4%	384 MB	1.2 GB	40.2 MB	1.7 MB
169	ec/695a87	807353	calling_pipeline:medakaInference_consensus (127)	CACHED	0	2026-01-12 18:58:34.025	6.8s	6.2s	105.3%	357.6 MB	1.1 GB	40.2 MB	1.6 MB
174	41/e4008e	807590	calling_pipeline:medakaInference_consensus (132)	CACHED	0	2026-01-12 18:58:34.285	6.5s	6.1s	99.7%	360.3 MB	1.1 GB	40.2 MB	1.6 MB
175	be/264c58	810682	calling_pipeline:medakaInference_consensus (133)	CACHED	0	2026-01-12 18:58:40.826	6.5s	5.8s	103.2%	353.6 MB	1 GB	40.2 MB	1.7 MB
163	7f/424f9e	803395	calling_pipeline:medakaInference_consensus (121)	CACHED	0	2026-01-12 18:58:26.138	8.1s	7.6s	121.9%	478.6 MB	1.2 GB	40.2 MB	2 MB
172	ec/3f0120	811378	calling_pipeline:medakaInference_consensus (130)	CACHED	0	2026-01-12 18:58:41.741	6.4s	5.9s	104.0%	368.6 MB	1.1 GB	40.2 MB	1.7 MB
178	b6/5af888	810783	calling_pipeline:medakaInference_consensus (136)	CACHED	0	2026-01-12 18:58:40.946	6.8s	6.3s	107.1%	369.6 MB	1.1 GB	40.2 MB	1.7 MB
173	d2/165698	810008	calling_pipeline:medakaInference_consensus (131)	CACHED	0	2026-01-12 18:58:39.500	6.5s	5.8s	111.0%	373.5 MB	1.1 GB	40.2 MB	1.7 MB
171	09/fbbefb	808954	calling_pipeline:medakaInference_consensus (129)	CACHED	0	2026-01-12 18:58:37.136	6.5s	5.9s	103.3%	351.8 MB	1.1 GB	40.2 MB	1.6 MB
177	f7/87b305	808059	calling_pipeline:medakaInference_consensus (135)	CACHED	0	2026-01-12 18:58:35.014	8.4s	7.9s	126.0%	512.5 MB	1.2 GB	40.3 MB	2.2 MB
179	b9/02bfc0	814250	calling_pipeline:medakaInference_consensus (137)	CACHED	0	2026-01-12 18:58:47.789	8.2s	7.7s	125.5%	458.6 MB	1.2 GB	40.3 MB	2 MB
181	c4/f6c8d1	813495	calling_pipeline:medakaInference_consensus (139)	CACHED	0	2026-01-12 18:58:46.437	8.8s	8.2s	132.0%	539 MB	1.3 GB	40.4 MB	2.2 MB
180	2e/c8c739	813235	calling_pipeline:medakaInference_consensus (138)	CACHED	0	2026-01-12 18:58:46.016	6.5s	5.9s	105.2%	367.9 MB	1.1 GB	40.2 MB	1.7 MB
184	c8/b64652	812016	calling_pipeline:medakaInference_consensus (142)	CACHED	0	2026-01-12 18:58:43.425	7.6s	7.2s	123.7%	479.9 MB	1.3 GB	40.3 MB	2 MB
183	62/0f978f	812090	calling_pipeline:medakaInference_consensus (141)	CACHED	0	2026-01-12 18:58:43.613	6.7s	6.1s	108.9%	376.1 MB	1.2 GB	40.2 MB	1.7 MB
182	46/60d285	815529	calling_pipeline:medakaInference_consensus (140)	CACHED	0	2026-01-12 18:58:50.292	6.9s	6.5s	113.7%	387.4 MB	1.2 GB	40.2 MB	1.7 MB
185	39/dd18f4	814127	calling_pipeline:medakaInference_consensus (143)	CACHED	0	2026-01-12 18:58:47.617	7.3s	6.8s	115.0%	389.6 MB	1.2 GB	40.2 MB	1.7 MB
190	0e/683154	815901	calling_pipeline:medakaInference_consensus (148)	CACHED	0	2026-01-12 18:58:51.070	6.6s	6.1s	105.6%	378 MB	1.2 GB	40.2 MB	1.7 MB
188	0e/d9d5e4	817558	calling_pipeline:medakaInference_consensus (146)	CACHED	0	2026-01-12 18:58:54.784	9s	8.5s	130.1%	478.2 MB	1.3 GB	40.3 MB	2 MB
189	24/38c7ac	816509	calling_pipeline:medakaInference_consensus (147)	CACHED	0	2026-01-12 18:58:52.481	6.4s	5.8s	105.2%	358.5 MB	1.1 GB	40.2 MB	1.7 MB
191	ec/a5cdd1	817671	calling_pipeline:medakaInference_consensus (149)	CACHED	0	2026-01-12 18:58:54.907	8.8s	8s	109.8%	370 MB	1.1 GB	40.2 MB	1.7 MB
197	01/62e8d3	819276	calling_pipeline:medakaInference_consensus (155)	CACHED	0	2026-01-12 18:58:57.708	7.3s	6.9s	103.3%	344.3 MB	1.1 GB	40.2 MB	1.7 MB
187	b3/1aa328	814591	calling_pipeline:medakaInference_consensus (145)	CACHED	0	2026-01-12 18:58:48.141	6.6s	6s	103.6%	357.1 MB	1.1 GB	40.2 MB	1.6 MB
196	04/8d45f4	821925	calling_pipeline:medakaInference_consensus (154)	CACHED	0	2026-01-12 18:59:03.844	6.4s	5.8s	106.1%	351.5 MB	1.1 GB	40.2 MB	1.6 MB
195	0b/de2290	817949	calling_pipeline:medakaInference_consensus (153)	CACHED	0	2026-01-12 18:58:55.246	7.8s	7.1s	100.8%	359.8 MB	1.1 GB	40.2 MB	1.6 MB
192	49/f5c761	817282	calling_pipeline:medakaInference_consensus (150)	CACHED	0	2026-01-12 18:58:54.008	7.4s	6.5s	105.7%	372.5 MB	1.2 GB	40.2 MB	1.7 MB
193	f1/d46954	821927	calling_pipeline:medakaInference_consensus (151)	CACHED	0	2026-01-12 18:59:03.856	6.4s	5.7s	105.7%	346.5 MB	1.1 GB	40.2 MB	1.7 MB
201	2d/26bcc5	818333	calling_pipeline:medakaInference_consensus (159)	CACHED	0	2026-01-12 18:58:56.024	7.8s	7.3s	109.4%	379 MB	1.2 GB	40.2 MB	1.7 MB
186	18/c9af67	813933	calling_pipeline:medakaInference_consensus (144)	CACHED	0	2026-01-12 18:58:47.308	6.7s	6.1s	111.9%	385.1 MB	1.1 GB	40.2 MB	1.7 MB
203	53/961447	825220	calling_pipeline:medakaInference_consensus (161)	CACHED	0	2026-01-12 18:59:10.309	8.7s	7.6s	113.9%	391.3 MB	1.1 GB	40.2 MB	1.7 MB
194	a8/826ba0	818909	calling_pipeline:medakaInference_consensus (152)	CACHED	0	2026-01-12 18:58:57.223	8.2s	7.6s	104.8%	367.9 MB	1.2 GB	40.2 MB	1.7 MB
202	9e/5d7be3	824212	calling_pipeline:medakaInference_consensus (160)	CACHED	0	2026-01-12 18:59:08.277	7.6s	6.8s	124.0%	458.9 MB	1.2 GB	40.2 MB	2 MB
205	54/1973ce	821457	calling_pipeline:medakaInference_consensus (163)	CACHED	0	2026-01-12 18:59:03.058	6.9s	6.2s	105.1%	367.1 MB	1.2 GB	40.2 MB	1.7 MB
206	02/72780b	824915	calling_pipeline:medakaInference_consensus (164)	CACHED	0	2026-01-12 18:59:09.940	8.6s	7.6s	125.7%	479.8 MB	1.3 GB	40.3 MB	2 MB
204	30/5cc5db	823436	calling_pipeline:medakaInference_consensus (162)	CACHED	0	2026-01-12 18:59:06.716	7.5s	7s	123.6%	480.4 MB	1.3 GB	40.2 MB	2 MB
198	df/4c20f7	819780	calling_pipeline:medakaInference_consensus (156)	CACHED	0	2026-01-12 18:58:58.919	7.8s	7.3s	106.5%	386.8 MB	1.2 GB	40.2 MB	1.7 MB
200	ca/82197b	821861	calling_pipeline:medakaInference_consensus (158)	CACHED	0	2026-01-12 18:59:03.726	8s	7.2s	123.5%	480.2 MB	1.2 GB	40.3 MB	2 MB
208	bd/4b555e	822768	calling_pipeline:medakaInference_consensus (166)	CACHED	0	2026-01-12 18:59:05.409	6.6s	6.1s	112.0%	391.6 MB	1.2 GB	40.2 MB	1.7 MB
207	0b/33055f	829003	calling_pipeline:medakaInference_consensus (165)	CACHED	0	2026-01-12 18:59:18.997	8.1s	7.4s	121.3%	479.9 MB	1.2 GB	40.3 MB	2 MB
199	10/589d8e	820800	calling_pipeline:medakaInference_consensus (157)	CACHED	0	2026-01-12 18:59:01.423	6.8s	6s	111.5%	376.7 MB	1.2 GB	40.2 MB	1.7 MB
209	6a/8334b6	825956	calling_pipeline:medakaInference_consensus (167)	CACHED	0	2026-01-12 18:59:11.717	7.8s	7.1s	106.2%	372.2 MB	1.1 GB	40.2 MB	1.7 MB
211	b9/be79c0	822571	calling_pipeline:medakaInference_consensus (169)	CACHED	0	2026-01-12 18:59:05.058	6.8s	6.2s	116.5%	408 MB	1.2 GB	40.3 MB	1.8 MB
210	ca/398aa6	825233	calling_pipeline:medakaInference_consensus (168)	CACHED	0	2026-01-12 18:59:10.320	9.5s	8.9s	132.9%	536.9 MB	1.3 GB	40.3 MB	2.2 MB
214	f3/f631b8	826028	calling_pipeline:medakaInference_consensus (172)	CACHED	0	2026-01-12 18:59:11.843	8s	7.4s	115.7%	407.5 MB	1.2 GB	40.3 MB	1.8 MB
212	78/0afdc9	829651	calling_pipeline:medakaInference_consensus (170)	CACHED	0	2026-01-12 18:59:19.829	7.5s	6.8s	112.0%	383.8 MB	1.1 GB	40.2 MB	1.8 MB
221	8c/096e75	830776	calling_pipeline:medakaInference_consensus (179)	CACHED	0	2026-01-12 18:59:21.959	7.7s	7s	112.9%	403.7 MB	1.2 GB	40.2 MB	1.8 MB
213	57/d6bf6c	829658	calling_pipeline:medakaInference_consensus (171)	CACHED	0	2026-01-12 18:59:19.842	8.2s	7s	122.1%	460.1 MB	1.2 GB	40.3 MB	2 MB
219	d5/faad4f	827922	calling_pipeline:medakaInference_consensus (177)	CACHED	0	2026-01-12 18:59:15.894	8.8s	7.7s	118.4%	479.7 MB	1.2 GB	40.3 MB	2 MB
216	11/41c534	829479	calling_pipeline:medakaInference_consensus (174)	CACHED	0	2026-01-12 18:59:19.511	9s	8.5s	123.0%	479.1 MB	1.2 GB	40.3 MB	2 MB
215	1d/d461da	827083	calling_pipeline:medakaInference_consensus (173)	CACHED	0	2026-01-12 18:59:14.206	7.7s	7.2s	109.1%	375.5 MB	1.1 GB	40.2 MB	1.7 MB
229	c4/dd5d5f	832968	calling_pipeline:medakaInference_consensus (187)	CACHED	0	2026-01-12 18:59:27.328	8.6s	7.6s	114.0%	409.2 MB	1.1 GB	40.3 MB	1.8 MB
225	55/92eca1	831796	calling_pipeline:medakaInference_consensus (183)	CACHED	0	2026-01-12 18:59:24.703	7.9s	7.5s	124.5%	536.9 MB	1.3 GB	40.3 MB	2.2 MB
220	03/2d6e5a	833577	calling_pipeline:medakaInference_consensus (178)	CACHED	0	2026-01-12 18:59:28.528	8.6s	8s	120.4%	459.2 MB	1.2 GB	40.3 MB	2 MB
226	6c/b58b0a	840246	calling_pipeline:medakaInference_consensus (184)	CACHED	0	2026-01-12 18:59:43.148	6.3s	5.5s	110.9%	365.1 MB	1.2 GB	40.2 MB	1.7 MB
224	35/323617	826252	calling_pipeline:medakaInference_consensus (182)	CACHED	0	2026-01-12 18:59:12.046	9.4s	8.9s	121.4%	537.6 MB	1.3 GB	40.3 MB	2.2 MB
218	37/483e61	832879	calling_pipeline:medakaInference_consensus (176)	CACHED	0	2026-01-12 18:59:27.084	8.5s	7.6s	111.8%	412.2 MB	1.2 GB	40.3 MB	1.8 MB
232	65/c6cc2b	838619	calling_pipeline:medakaInference_consensus (190)	CACHED	0	2026-01-12 18:59:39.087	6.9s	6.2s	107.9%	364 MB	1.1 GB	40.2 MB	1.6 MB
235	fe/3aed04	841138	calling_pipeline:medakaInference_consensus (193)	CACHED	0	2026-01-12 18:59:44.902	8.2s	7.6s	123.0%	478.9 MB	1.2 GB	40.3 MB	2 MB
223	97/c258bb	832294	calling_pipeline:medakaInference_consensus (181)	CACHED	0	2026-01-12 18:59:25.765	8.8s	7.8s	120.7%	480.1 MB	1.2 GB	40.3 MB	2 MB
233	f9/417d55	833307	calling_pipeline:medakaInference_consensus (191)	CACHED	0	2026-01-12 18:59:28.020	8s	7.3s	125.5%	533.9 MB	1.2 GB	40.3 MB	2.2 MB
239	70/cd3433	836832	calling_pipeline:medakaInference_consensus (197)	CACHED	0	2026-01-12 18:59:36.012	8.9s	7.9s	124.9%	524.2 MB	1.2 GB	40.3 MB	2.2 MB
222	02/8452ae	830382	calling_pipeline:medakaInference_consensus (180)	CACHED	0	2026-01-12 18:59:21.432	7.1s	6.6s	109.2%	384.3 MB	1.1 GB	40.2 MB	1.7 MB
228	ba/db005c	835457	calling_pipeline:medakaInference_consensus (186)	CACHED	0	2026-01-12 18:59:32.628	8s	7.3s	115.8%	412.3 MB	1.1 GB	40.2 MB	1.8 MB
217	92/b7ccbc	828933	calling_pipeline:medakaInference_consensus (175)	CACHED	0	2026-01-12 18:59:18.560	7.2s	6.4s	113.6%	403.5 MB	1.2 GB	40.2 MB	1.8 MB
241	02/db9f65	840706	calling_pipeline:medakaInference_consensus (199)	CACHED	0	2026-01-12 18:59:43.953	7.9s	7.2s	122.7%	479.2 MB	1.3 GB	40.3 MB	2 MB
237	58/124444	839196	calling_pipeline:medakaInference_consensus (195)	CACHED	0	2026-01-12 18:59:40.623	6.7s	6.2s	106.2%	386.8 MB	1.2 GB	40.4 MB	1.7 MB
244	4b/26104f	836808	calling_pipeline:medakaInference_consensus (202)	CACHED	0	2026-01-12 18:59:35.981	8.9s	7.9s	123.4%	478.8 MB	1.2 GB	40.3 MB	2 MB
227	03/12f29d	836213	calling_pipeline:medakaInference_consensus (185)	CACHED	0	2026-01-12 18:59:34.554	8.6s	7.5s	125.6%	479.9 MB	1.2 GB	40.3 MB	2 MB
230	a6/5c96c7	833601	calling_pipeline:medakaInference_consensus (188)	CACHED	0	2026-01-12 18:59:28.560	9.3s	8.6s	123.5%	477.9 MB	1.3 GB	40.2 MB	2 MB
245	d8/608ecd	841774	calling_pipeline:medakaInference_consensus (203)	CACHED	0	2026-01-12 18:59:45.955	7.7s	7.1s	128.1%	522.2 MB	1.2 GB	40.3 MB	2.2 MB
238	70/e4e2e3	841903	calling_pipeline:medakaInference_consensus (196)	CACHED	0	2026-01-12 18:59:46.231	8.6s	7.8s	125.4%	577.7 MB	1.3 GB	40.3 MB	2.4 MB
240	01/6f7959	842449	calling_pipeline:medakaInference_consensus (198)	CACHED	0	2026-01-12 18:59:47.335	8s	7.5s	127.0%	632 MB	1.3 GB	40.4 MB	2.7 MB
246	fb/e365e7	836613	calling_pipeline:medakaInference_consensus (204)	CACHED	0	2026-01-12 18:59:35.615	8.3s	7.7s	128.4%	537.1 MB	1.3 GB	40.3 MB	2.2 MB
243	0c/6b6377	841150	calling_pipeline:medakaInference_consensus (201)	CACHED	0	2026-01-12 18:59:44.940	6.8s	5.8s	100.0%	340.1 MB	1.1 GB	40.2 MB	1.6 MB
247	dd/6ab22e	844964	calling_pipeline:medakaInference_consensus (205)	CACHED	0	2026-01-12 18:59:53.147	9s	8.4s	121.2%	479.9 MB	1.3 GB	40.3 MB	2 MB
234	a6/05491b	837440	calling_pipeline:medakaInference_consensus (192)	CACHED	0	2026-01-12 18:59:37.149	8.7s	8.1s	127.3%	519.2 MB	1.2 GB	40.3 MB	2.2 MB
242	f4/f0d229	843326	calling_pipeline:medakaInference_consensus (200)	CACHED	0	2026-01-12 18:59:49.467	6.7s	6.2s	115.3%	410.5 MB	1.1 GB	40.3 MB	1.8 MB
231	8b/7a1790	834182	calling_pipeline:medakaInference_consensus (189)	CACHED	0	2026-01-12 18:59:29.624	9.4s	8.8s	125.3%	580.9 MB	1.3 GB	40.4 MB	2.4 MB
253	c8/176720	845103	calling_pipeline:medakaInference_consensus (211)	CACHED	0	2026-01-12 18:59:53.449	8.7s	8.1s	123.9%	478.1 MB	1.2 GB	40.3 MB	2 MB
250	e6/ede60d	846339	calling_pipeline:medakaInference_consensus (208)	CACHED	0	2026-01-12 18:59:55.355	6.8s	6.3s	108.2%	376.2 MB	1.1 GB	40.2 MB	1.7 MB
251	fc/3f33e2	845314	calling_pipeline:medakaInference_consensus (209)	CACHED	0	2026-01-12 18:59:53.672	9.1s	8.6s	124.4%	594.3 MB	1.3 GB	40.4 MB	2.4 MB
236	76/d6a36e	838034	calling_pipeline:medakaInference_consensus (194)	CACHED	0	2026-01-12 18:59:37.897	8.3s	7.5s	121.7%	478 MB	1.2 GB	40.3 MB	2 MB
249	02/37db61	844407	calling_pipeline:medakaInference_consensus (207)	CACHED	0	2026-01-12 18:59:51.913	9.3s	8.5s	123.3%	599 MB	1.3 GB	40.4 MB	2.4 MB
248	a5/04d4ce	844295	calling_pipeline:medakaInference_consensus (206)	CACHED	0	2026-01-12 18:59:51.712	8.8s	8s	126.7%	534 MB	1.2 GB	40.3 MB	2.2 MB
252	91/13e7f7	841663	calling_pipeline:medakaInference_consensus (210)	CACHED	0	2026-01-12 18:59:45.828	7.6s	7.1s	131.1%	536 MB	1.3 GB	40.3 MB	2.2 MB
257	cb/aa01d1	849348	calling_pipeline:medakaInference_consensus (215)	CACHED	0	2026-01-12 19:00:02.207	8.6s	8.1s	124.3%	459.1 MB	1.2 GB	40.3 MB	2 MB
263	75/fee4dd	853308	calling_pipeline:medakaInference_consensus (221)	CACHED	0	2026-01-12 19:00:10.851	9.9s	9.2s	125.7%	479.1 MB	1.3 GB	40.5 MB	2 MB
254	63/d250e7	846757	calling_pipeline:medakaInference_consensus (212)	CACHED	0	2026-01-12 18:59:56.148	6.9s	6.4s	105.0%	376.3 MB	1.2 GB	40.2 MB	1.7 MB
256	ad/98877f	848812	calling_pipeline:medakaInference_consensus (214)	CACHED	0	2026-01-12 19:00:01.189	9s	8.4s	120.4%	479.1 MB	1.3 GB	40.3 MB	2 MB
255	f0/cd490f	848301	calling_pipeline:medakaInference_consensus (213)	CACHED	0	2026-01-12 19:00:00.499	7.9s	7.1s	108.5%	374.2 MB	1.2 GB	40.2 MB	1.7 MB
259	e7/07ee31	849965	calling_pipeline:medakaInference_consensus (217)	CACHED	0	2026-01-12 19:00:03.067	9s	8.4s	126.3%	534.1 MB	1.2 GB	40.3 MB	2.2 MB
265	44/33c68a	853600	calling_pipeline:medakaInference_consensus (223)	CACHED	0	2026-01-12 19:00:11.326	8.3s	7.7s	125.5%	477.9 MB	1.2 GB	40.2 MB	2 MB
261	9c/afe34f	849313	calling_pipeline:medakaInference_consensus (219)	CACHED	0	2026-01-12 19:00:02.182	9.2s	8.6s	125.7%	590.6 MB	1.3 GB	40.4 MB	2.4 MB
271	3b/f7c410	853948	calling_pipeline:medakaInference_consensus (229)	CACHED	0	2026-01-12 19:00:11.784	10s	9.2s	117.2%	479.3 MB	1.2 GB	40.3 MB	2 MB
260	12/b62dda	849326	calling_pipeline:medakaInference_consensus (218)	CACHED	0	2026-01-12 19:00:02.193	9.7s	9.1s	125.2%	520.6 MB	1.3 GB	40.4 MB	2.2 MB
268	59/c8b0ca	855867	calling_pipeline:medakaInference_consensus (226)	CACHED	0	2026-01-12 19:00:15.868	9.9s	9.3s	117.4%	479.9 MB	1.3 GB	40.3 MB	2 MB
264	83/b136fc	849858	calling_pipeline:medakaInference_consensus (222)	CACHED	0	2026-01-12 19:00:02.785	8.5s	8.1s	121.7%	460.4 MB	1.2 GB	40.3 MB	2 MB
272	0c/455e56	862166	calling_pipeline:medakaInference_consensus (230)	CACHED	0	2026-01-12 19:00:30.763	10.3s	9.6s	128.5%	533.3 MB	1.2 GB	40.3 MB	2.2 MB
262	56/d9e5c0	854106	calling_pipeline:medakaInference_consensus (220)	CACHED	0	2026-01-12 19:00:11.863	9.8s	9.1s	128.2%	588.9 MB	1.4 GB	40.3 MB	2.4 MB
266	a1/559aa1	850519	calling_pipeline:medakaInference_consensus (224)	CACHED	0	2026-01-12 19:00:04.071	7.7s	7s	102.4%	364.5 MB	1.2 GB	40.2 MB	1.7 MB
275	e1/f730d2	854264	calling_pipeline:medakaInference_consensus (233)	CACHED	0	2026-01-12 19:00:12.063	7.5s	6.9s	113.8%	403.2 MB	1.1 GB	40.2 MB	1.8 MB
279	56/aa6488	862277	calling_pipeline:medakaInference_consensus (237)	CACHED	0	2026-01-12 19:00:30.943	9.7s	9s	130.7%	533.4 MB	1.3 GB	40.4 MB	2.2 MB
273	57/a670f9	857449	calling_pipeline:medakaInference_consensus (231)	CACHED	0	2026-01-12 19:00:19.660	7.8s	7s	120.9%	459.7 MB	1.2 GB	40.3 MB	2 MB
258	0c/0fdd5d	845861	calling_pipeline:medakaInference_consensus (216)	CACHED	0	2026-01-12 18:59:54.795	9.3s	8.6s	122.2%	531 MB	1.2 GB	40.3 MB	2.2 MB
283	44/8e9153	856913	calling_pipeline:medakaInference_consensus (241)	CACHED	0	2026-01-12 19:00:18.979	10.9s	10.1s	125.7%	584.2 MB	1.4 GB	40.3 MB	2.4 MB
267	2a/c3ee1c	852991	calling_pipeline:medakaInference_consensus (225)	CACHED	0	2026-01-12 19:00:10.219	8.7s	8.1s	130.4%	639.4 MB	1.4 GB	40.4 MB	2.6 MB
269	cd/688ec2	853698	calling_pipeline:medakaInference_consensus (227)	CACHED	0	2026-01-12 19:00:11.370	8.7s	7.9s	126.5%	535.2 MB	1.3 GB	40.3 MB	2.2 MB
280	3a/bc1374	862034	calling_pipeline:medakaInference_consensus (238)	CACHED	0	2026-01-12 19:00:30.561	9.6s	8.7s	118.7%	479.5 MB	1.3 GB	40.3 MB	2 MB
282	d0/a1b3ac	863670	calling_pipeline:medakaInference_consensus (240)	CACHED	0	2026-01-12 19:00:34.337	9s	8.3s	118.3%	478.4 MB	1.3 GB	40.2 MB	2 MB
277	53/4a477f	858422	calling_pipeline:medakaInference_consensus (235)	CACHED	0	2026-01-12 19:00:21.748	9s	8s	121.8%	477.9 MB	1.3 GB	40.2 MB	2 MB
274	99/0822f3	857648	calling_pipeline:medakaInference_consensus (232)	CACHED	0	2026-01-12 19:00:20.133	10.4s	9.7s	116.4%	458.8 MB	1.2 GB	40.3 MB	2 MB
278	92/561808	859919	calling_pipeline:medakaInference_consensus (236)	CACHED	0	2026-01-12 19:00:25.776	8.5s	7.8s	120.4%	479.9 MB	1.3 GB	40.3 MB	2 MB
284	67/c39fa8	861488	calling_pipeline:medakaInference_consensus (242)	CACHED	0	2026-01-12 19:00:29.896	10.2s	9.3s	128.1%	584.1 MB	1.4 GB	40.4 MB	2.4 MB
276	4b/c364a4	858420	calling_pipeline:medakaInference_consensus (234)	CACHED	0	2026-01-12 19:00:21.733	8.8s	7.6s	122.2%	479.6 MB	1.2 GB	40.3 MB	2 MB
281	c7/53a9cb	860511	calling_pipeline:medakaInference_consensus (239)	CACHED	0	2026-01-12 19:00:27.473	8.3s	7.5s	124.0%	479.4 MB	1.2 GB	40.3 MB	2 MB
285	d0/301794	857354	calling_pipeline:medakaInference_consensus (243)	CACHED	0	2026-01-12 19:00:19.568	10.3s	9.7s	120.4%	535.2 MB	1.3 GB	40.4 MB	2.2 MB
270	3b/0276a3	852196	calling_pipeline:medakaInference_consensus (228)	CACHED	0	2026-01-12 19:00:08.376	7.5s	6.9s	122.8%	460.3 MB	1.2 GB	40.3 MB	2 MB
291	3d/a89e6a	865620	calling_pipeline:medakaInference_consensus (249)	CACHED	0	2026-01-12 19:00:39.143	7.5s	6.7s	115.6%	402 MB	1.1 GB	40.3 MB	1.8 MB
286	ed/18f6c0	862029	calling_pipeline:medakaInference_consensus (244)	CACHED	0	2026-01-12 19:00:30.551	9.5s	8.6s	125.6%	533.7 MB	1.2 GB	40.3 MB	2.2 MB
287	49/09b973	861452	calling_pipeline:medakaInference_consensus (245)	CACHED	0	2026-01-12 19:00:29.848	9.3s	8.1s	125.3%	562.1 MB	1.3 GB	40.4 MB	2.4 MB
292	9c/e7b7ba	867866	calling_pipeline:medakaInference_consensus (250)	CACHED	0	2026-01-12 19:00:43.357	9.7s	9s	135.4%	800.8 MB	1.5 GB	40.7 MB	3.1 MB
